Player,Team,Agents,Rounds Played,ACS,KD,Kill_Asist_Trade_Survive_Percent,Average_Damage_per_Match,Kills_per_Match,Assists_per_Match,First_Kills_per_Match,First_Deaths_per_Match,HS,Clutch_success_percent,Cluthes_(won/played),Maximum_Kills,Kills,D,A,FK,FD
mitch,C9,Sage,236,1846,97,0.71,1229,64,18,8,6,0.17,0.19,5/27,26,152,156,42,20,15
Munchkin,CR,Kayo,76,1833,74,0.61,1259,61,33,13,18,0.31,,0/8,20,46,62,25,10,14
sutecas,VKS,Viper,145,1829,103,0.69,1259,70,30,6,9,0.29,0.18,5/28,18,101,98,44,8,13
BONECOLD,ACE,Sova,283,1812,99,0.76,1222,65,29,7,10,0.31,0.22,8/36,19,185,187,83,19,28
L1NK,TL,Astra,187,1811,98,0.73,1233,64,25,8,5,0.33,0.12,3/26,20,120,123,47,15,10
xeta,C9,Sova,236,1799,101,0.77,1248,65,37,5,4,0.24,0.13,4/30,23,153,151,87,12,9
SuperBusS,FS,Astra,82,1793,85,0.66,1304,63,22,4,6,0.24,0.08,1/12,19,52,61,18,3,5
k1Ng,VS,Killjoy,147,1773,96,0.72,1214,61,21,8,10,0.28,0.17,3/18,19,90,94,31,12,15
Klaus,KRU,Killjoy,317,1749,87,0.69,1157,60,23,8,11,0.22,0.26,10/38,25,190,218,73,24,36
Rb,VS,Sky,170,1745,98,0.72,1153,62,29,11,10,0.31,0.22,4/18,18,106,108,49,18,17
murizzz,VK,Killjoy,91,1738,83,0.76,1190,63,26,7,12,0.23,0.13,1/8,20,57,69,24,6,11
Crws,X10,Kayo,208,1705,82,0.74,1107,60,43,11,11,0.23,0.25,4/16,19,124,151,90,22,22
frz,VKS,Reyna,145,1693,77,0.77,1163,59,24,10,12,0.26,0.15,2/13,20,86,112,35,14,18
PTC,CFS,Breach,82,1688,77,0.65,1185,59,32,15,16,0.25,0.09,1/11,19,48,62,26,12,13
JhoW,VK,Sage,91,1682,63,0.63,1135,51,27,9,11,0.21,0.07,1/15,14,46,73,25,8,10
Boaster,FNC,Sova,207,1669,89,0.75,1178,57,34,4,9,0.18,0.06,1/16,22,118,132,70,8,19
BORKUM,TS,Viper,163,1658,98,0.66,1110,63,25,7,9,0.19,0.38,6/16,19,103,105,41,11,14
sScary,X10,Viper,208,1651,88,0.72,1163,58,36,4,10,0.23,0.04,1/27,17,121,137,74,8,20
neth,CR,Sage,76,1643,66,0.61,1073,54,41,4,7,0.25,0.07,1/15,16,41,62,31,3,5
Victor,NV,Kayo,156,1623,81,0.66,1084,58,32,8,16,0.25,0.14,1/7,17,91,112,50,13,25
Redgar,GMB,Sage,356,1622,91,0.72,1099,60,34,7,7,0.28,0.19,7/37,22,213,234,121,25,25
Mazin,FUR,Astra,134,1610,82,0.71,1067,60,26,8,10,0.32,0.18,3/17,19,81,99,35,11,13
delz1k,KRU,Astra,317,1606,80,0.68,1124,58,28,5,8,0.28,0.09,3/32,26,185,230,89,17,25
vanity,C9,Viper,236,1601,78,0.7,1114,54,41,7,9,0.19,0.16,7/45,19,127,163,97,16,21
Kiles,ACE,Viper,283,1575,85,0.69,1044,58,27,6,6,0.27,0.13,4/30,18,165,194,77,17,18
zombs,SEN,Astra,199,1547,82,0.68,1033,54,39,4,7,0.15,0.25,6/24,17,108,131,78,7,13
v1xen,VK,Viper,91,1492,68,0.63,1021,52,35,5,11,0.25,0.43,3/7,13,47,69,32,5,10
Mistic,FNC,Viper,207,1456,81,0.7,996,53,33,7,4,0.32,0.06,2/33,19,109,134,68,15,8
ChAlalala,FS,Cypher,82,1395,71,0.7,902,50,11,4,7,0.31,0.08,1/13,13,41,58,9,3,6
ade,CR,Viper,76,1018,46,0.53,745,38,33,3,9,0.27,0.11,2/18,9,29,63,25,2,7
